Repeat	Primary
11.5	105.4
13.8	108.2
14.4	93.7
14.7	97.6
15.0	95.9
20.0	87.3
20.3	95.0
24.6	84.7
29.4	97.2
30.6	86.4
30.8	92.0
33.0	106.7
33.2	76.3
34.6	87.5
43.1	83.3
54.1	101.5
58.0	84.7
