contigNG50	Repeat
12.08	11.48
4.13	13.83
12.76	14.43
6.92	14.74
6.11	14.98
22.76	19.97
5.31	20.30
3.18	24.63
1.99	29.37
10.23	30.57
2.26	30.81
3.01	32.96
2.21	33.19
10.80	34.64
1.07	43.12
0.71	54.13
0.29	58.04
